P_MASS,P_RADIUS,P_TEMP_EQUIL,P_PERIOD,P_SEMI_MAJOR_AXIS,S_TEMPERATURE,S_MASS,S_RADIUS,P_FLUX,P_GRAVITY,P_ESI
1172.7927,13.451,1696.7735,1.3866532,0.0248,5800.0,1.05,1.11,1968.3242,6.482046,0.067174568
441.7837,13.227,1843.6766,2.90367,0.04622,6050.0,0.76,1.82,2743.7221,2.5251488,0.068026371
1242.7153,17.777,1876.4981,3.6127647,0.05224,7598.0,1.46,1.64,2944.3787,3.932373,0.052117928
238.3725,14.572,1493.4592,3.35524,0.04651,6373.0,1.37,1.38,1185.6976,1.1225814,0.062915027
746.9005,15.693,1573.0893,4.08605,0.0546,6600.0,1.33,1.76,1454.1684,3.0328491,0.058727932
35.0,6.56,608.09994,54.32031,0.3046,6182.0,1.28,1.52,32.480193,0.81331797,0.15590844
117.91493,14.404,1334.1681,3.71495,0.0474,5738.0,1.03,1.32,752.39052,0.56833261,0.064082713
16.17,1.61,374.935,46.859,0.237,4699.0,0.81,0.78,4.7607847,6.2381853,0.50969196
505.3497,17.71,1904.5015,3.2642736,0.04997,6460.0,1.56,2.26,3371.4767,1.6112202,0.052252333
4.78,2.133,354.08235,11.379573,0.0721,3506.0,0.39,0.38,3.7355275,1.0506213,0.5180918
285.72917,14.773,1354.3847,2.9776412,0.04263,5740.0,1.17,1.29,799.0415,1.3092337,0.062586936
18.467,2.926,1147.2828,1.392978,0.02177,4600.0,0.71,0.7,411.41786,2.1569879,0.21546541
305.1168,18.82,1635.7198,4.908897,0.06562,6554.0,1.56,2.11,1729.5616,0.86144367,0.049722146
953.49,11.781,1282.5095,6.180235,0.07229,6202.0,1.32,1.59,642.45624,6.8699224,0.076605361
835.8929,10.761,1434.1732,2.71866,0.0394,6140.0,0.72,0.95,1004.6333,7.2184736,0.082166304
189.42573,14.841,1249.8632,3.5852313,0.04628,5804.0,1.03,1.1,592.354,0.8600281,0.062796476
4.31,1.91,1358.1774,1.858703,0.0283,5550.0,0.95,0.88,808.02934,1.1814369,0.26079353
95.345,11.99,1330.7548,4.322482,0.052,5800.0,1.01,1.06,744.72051,0.66322297,0.075224591
6.9,2.521,621.2324,20.543791,0.1448,5688.0,0.99,0.91,36.58109,1.0856839,0.26413249
388.38826,16.41,1850.2695,1.8209993,0.03199,6300.0,1.32,1.43,2994.4716,1.4422778,0.056043266
